Country,Activity,Location,Sex,Fatal Y/N,Species,Type
Jamaica,Other,Rose Hall beach,F,No,Small shark 1m (3ft) long,Unprovoked
Israel,Diving related,Olga Beach near Hadera Stream ,M,Yes,Dusky sharks,Unprovoked
Mexico,Other,Chac Mool Beach Cancun,M,Yes,Not Staed,Questionable
Maldives,Diving related,Haa Dhaalu atoll,M,No,Not stated,unprovoked
USA,Other,Everglades National Park Flamingo Lodge Highway West Miami-Dade (Monroe County),M,No,Not stated,Unprovoked
Australia,Swimming related,Sandtrax Port Beach North Fremantle Perth,M,No,1.5m Tiger shark,Unprovoked
Australia,Surfing related,Duke of Orleans Bay,M,Yes,Great White Shark,Unprovoked
Australia,Swimming related,Gunyah beach Bundeena Port Hacking,F,No,Bull shark,Unprovoked
Australia,Swimming related,Nuns Beach near Portland,M,No,Not stated,Unprovoked
Philippines,Diving related,Verde Island,M,Yes,Not stated ,Questionable
Australia,Boating related,Blasck Wall Reach Swan River Perth,F,No,Not stated,Unprovoked
Australia,Fishing related,Off Port Stephens near Newcastle,M,Yes,Mako shark,Questionable
Australia,Diving related,The Wrecks walking track Moreton Island,M,No,Not stated,Unprovoked
Bahamas,Swimming related,Bimini Bay,F,No,bull shark,Unprovoked
Bahamas,Swimming related,Bimini Bay,F,No,bull shark,Unprovoked
Turks and Caicos,Swimming related,Thompson Cove Beach,F,No,1.8m (6ft) bull shark,Unprovoked
Australia,Swimming related,"Woorim Beach, Bribie Island,",F,Yes,Bull shark,Unprovoked
Australia,Swimming related,Shipwreck Cove,M,No,Not stated,Unprovoked
Australia,Surfing related,Cheynes beach ,M,No,Bronze whaler,Unprovoked
Mozambique,Fishing related,Vilankulo Bay,M,Yes,Described as a large terrifying animal,Unprovoked
USA,Diving related,Off Haleiwa Boat Harbour Oahu,M,No,Not stated,Provoked
New Caledonia,Fishing related,Islet of Kendek near Koumac,M,Yes,Reportedly Tiger or Bull shark,Unprovoked
