Country,Activity,Location,Sex,Fatal Y/N,Species,Type
USA,Surfing related,"Humboldt Bay, Eureka, Humboldt County",M,No,White shark,Unprovoked
USA,Swimming related,"Makena Landing, Maui",F,No,"Tiger shark, 10' to 12' ",Unprovoked
USA,Surfing related,"Surf Beach, Lompoc, Santa Barbara County",M,Yes,"White shark, 15' to 16' ",Unprovoked
USA,unknown,"Seaport, Brevard County",F,No,,Unprovoked
USA,Surfing related,"Ponce Inlet, Volusia County",M,No,,Unprovoked
USA,Surfing related,"Kanaha Beach, Maui",M,No,6' to 8' shark,Unprovoked
USA,unknown,Hobe Sound,M,Unknown,Shark involvement not confirmed,Invalid
NIGERIA,Swimming related,Oboro,F,No,,Unprovoked
USA,Surfing related,"Davenport Landing, Santa Cruz County",M,No,,Unprovoked
AUSTRALIA,Surfing related,"Mullaloo Beach, Perth",M,No,2m shark,Unprovoked
USA,Surfing related,"Melbourne Beach, Brevard County",M,No,5' shark,Unprovoked
USA,Surfing related,"Spanish House Beach, Brevard County",M,No,4' shark,Unprovoked
USA,Surfing related," Cocoa Beach, Brevard  County",M,No,,Unprovoked
TONGA,Swimming related,Eueiki Island,F,No,Possibly a 3 m bull shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",Unknown,No,,Unprovoked
USA,Surfing related,"Lori Wilson Park, Cocoa Beach, Brevard  County",M,No,,Unprovoked
USA,Swimming related,"South Beach, Miami-Dade County",M,No,,Unprovoked
USA,Surfing related,"Neptune Beach, Duval County",M,No,,Unprovoked
USA,Surfing related,"St. Augustine Beach, St. John's County",M,No,,Unprovoked
USA,Surfing related,"Melbourne Beach, Brevard County",M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",F,No,3.5' to 4' shark,Unprovoked
USA,Fishing related,"Spreckelsville, Maui",Unknown,No,"Tiger shark, 10' to 12' ",Provoked
USA,Surfing related,"New Smyrna Beach, Volusia County",F,No,3.5' to 4' shark,Unprovoked
SCOTLAND,Fishing related,Off the Isle of Islay,M,No,"Porbeagle shark, 7'",Provoked
AUSTRALIA,Surfing related,Red Bluff near Quobba Station,M,No,,Unprovoked
BRAZIL,Swimming related,"Coral Cove, Cabo de Santo Agostinho",M,Yes,,Unprovoked
USA,Swimming related,"Gulf Shores, Baldwin County",M,No,,Unprovoked
AUSTRALIA,Fishing related,Ocean Reef,Unknown,No,4.5 m shark,Watercraft
USA,Diving related,Key Largo,M,No,"Lemon shark, 4' to 5' ",Unprovoked
REUNION,Surfing related,,M,No,Bull shark,Unprovoked
FRENCH POLYNESIA,Fishing related,Kaukura Atoll,M,No,"Lemon shark, 2.5m to 3m ",Unprovoked
USA,Surfing related,"Topanga Beach, Los Angeles County",M,No,,Unprovoked
AUSTRALIA,Surfing related,Streaky Bay,M,No,White shark or bronze whaler,Unprovoked
USA,Surfing related,"Maha‘ulepu Beach, Kauai",M,No,,Unprovoked
USA,Surfing related,"Ballston Beach, Truro, Cape Cod",M,No,Thought to involve a white shark,Unprovoked
USA,unknown,"Ocean Isle, Brunswick County",M,Unknown,Shark involvement not confirmed,Invalid
REUNION,Surfing related,,M,Yes,,Unprovoked
TRINIDAD & TOBAGO,Swimming related,"Off Radix Village, Mayoro County",M,Unknown,,Invalid
CANADA,Surfing related,"Tofino, Vancouver",F,Unknown,"Salmon shark suspected, but unlikely",Invalid
AUSTRALIA,Surfing related,Off Wedge Island,M,Yes,"White shark, 5m",Unprovoked
USA,Swimming related,"North Topsail Beach, Onslow County",F,No,,Unprovoked
BAHAMAS,Fishing related,,M,No,,Unprovoked
AUSTRALIA,Diving related,Ship's Graveyard off Point Lonsdale,F,Unknown,,Invalid
USA,Boating related,"Pleasure Point, Santa Cruz County",M,No,14' to 18'shark,Watercraft
SOUTH AFRICA,Surfing related,"Sandstrand, Jongensfontein",M,No,15' shark,Unprovoked
CROATIA,Swimming related,Buccari Bay,Unknown,Unknown,No shark involvement,Invalid
USA,Swimming related,"Juno Beach, Palm Beach County",M,No,possibly a bull shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Other,"Kahana Beach, Maui",F,No,a small reef shark,Unprovoked
AUSTRALIA,Surfing related,South Cape Bay,M,No,,Unprovoked
USA,Swimming related,"Bathtub Reef  Beach, Stuart, Martin County",M,No,,Unprovoked
AUSTRALIA,Surfing related,"Mullaloo Beach, Perth",M,No,3 m shark,Unprovoked
USA,Swimming related,"Myrtle Beach, Horry County",M,Unknown,No shark involvement,Invalid
USA,Swimming related,"Ocean Isle, Brunswick County",F,No,,Unprovoked
USA,Fishing related,"Summerland Key, Monroe County",M,No,Nurse shark,Provoked
USA,Swimming related,"Myrtle Beach, Horry County",F,No,small blacktip shark?,Unprovoked
USA,Swimming related,"Myrtle Beach, Horry County",M,No,Shark involvement not confirmed,Unprovoked
USA,Swimming related,"Myrtle Beach, Horry County",M,No,small blacktip shark?,Unprovoked
USA,Swimming related,"Myrtle Beach, Horry County",M,No,Blacktip shark ,Unprovoked
AUSTRALIA,Surfing related,Port Campbell,M,No,1.5 m shark,Unprovoked
ITALY,Other,Muravera,M,Unknown,"Blue shark, 2.5m",Provoked
AUSTRALIA,Surfing related,"Redhead Beach, Newcastle",M,No,"White shark, 2 m",Unprovoked
USA,Surfing related,"Bethune Beach, Volusia County",F,No,,Unprovoked
USA,Surfing related,"Myrtle Beach, Horry County",M,No,,Unprovoked
USA,Swimming related,"Avon, Hatteras Island, Outer Banks, Dare County",F,No,"18"" to 24"" shark",Unprovoked
MEXICO,Fishing related," Boca de la Leña, La Unión",M,No,"Bull shark, 3m",Unprovoked
USA,Surfing related,"Jacksonville, Duval County",M,No,4' to 5' shark,Unprovoked
USA,Fishing related,"Iroquiois Point, Oahu",M,No,"Tiger shark, 8' to 9' ",Watercraft
FIJI,Fishing related,Matacucu Reef ,M,No,,Unprovoked
USA,Fishing related,"Leffingwell Landing, Cambria,  San Luis Obispo County",M,No,White shark,Watercraft
USA,Swimming related,"Vero Beach, Indian River County",F,No,,Unprovoked
USA,Surfing related,Off Catalina Island,F,No,White shark,Unprovoked
USA,Surfing related,"Indialantic, Brevard County",M,No,5' shark,Unprovoked
SOUTH AFRICA,Surfing related,Caves near Kogel Bay,M,Yes,"White shark, 4 m to 5m ",Unprovoked
AUSTRALIA,Boating related,"Dolphin Bay, Innes National Park",M,No,"White shark, 6m ",Watercraft
USA,Surfing related,"Leftovers near Chun's Reef, Oahu",M,No,"Tiger shark, 10'  ",Unprovoked
USA,unknown,"Sanibel Island, Lee County",M,No,a small shark,Unprovoked
AUSTRALIA,Diving related,Stratham Beach,M,Yes,"White shark, 4m ",Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
AUSTRALIA,Fishing related,Kalbarri,Unknown,No,White shark,Watercraft
AUSTRALIA,Surfing related,Nobby's Beach,M,No,Possibly a bull shark,Unprovoked
USA,Surfing related,"Jensen Beach, Martin County ",M,No,Possibly a 5' to 6' bull shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",F,No,4' to 5' shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,4' to 5' shark,Unprovoked
NEW ZEALAND,Surfing related,"Opunake, Taranake",M,No,,Unprovoked
AUSTRALIA,Diving related,"Shipwreck Cove, Melbourne Aquarium",F,No,"Tawny nurse shark, 40cm",Provoked
REUNION,Surfing related,Port de la Marine,M,No,,Unprovoked
USA,Surfing related,"Playalinda Beach, Brevard County",M,No,4' shark,Unprovoked
SAUDI ARABIA,Surfing related,Off Duba,M,Unknown,,Invalid
CHILE,Fishing related,Antofagasta,M,No,,Provoked
USA,Surfing related,"Palm Beach Inlet, Palm Beach County",M,No,Spinner shark,Provoked
AUSTRALIA,Fishing related,Broughton Island,M,No,Grey nurse shark,Unprovoked
SOUTH AFRICA,Fishing related,Strandfontein,Unknown,No,"White shark, 7m",Watercraft
AUSTRALIA,Surfing related,Wurtulla,M,No,,Unprovoked
USA,Diving related,Lanai,Unknown,No,6' to 8' shark,Unprovoked
AUSTRALIA,Diving related,Coral Bay,M,No,"Tiger shark, 3m",Unprovoked
BAHAMAS,Diving related,Cat Island,M,No,Tiger shark,Unprovoked
TAIWAN,Fishing related,Taimali,M,No,"Blue shark, 70-kg blue shark",Provoked
AUSTRALIA,Surfing related,Redhead Beach,M,No,"White shark, 2.7 m",Unprovoked
SOUTH AFRICA,Swimming related,"Second Beach, Port St. Johns",M,Yes,Thought to involve a bull shark,Unprovoked
USA,Surfing related,"Lincoln City, Lincoln County",M,No,White shark,Unprovoked
AUSTRALIA,Surfing related,North Avoca Beach,M,No,2 m shark,Unprovoked
AUSTRALIA,Fishing related,Duranbah,M,No,Allegedly a 4 m tiger shark,Unprovoked
USA,unknown,"Jupiter, Palm Beach County",M,No,,Unprovoked
ANTIGUA,Swimming related,Fort James Beach,M,Unknown,Shark involvement not confirmed,Invalid
ECUADOR,Surfing related,Barandúa Beach,M,No,,Unprovoked
USA,Surfing related,New Smyrna Beach,M,No,,Unprovoked
USA,Boating related,"Makahuena Point, Kauai",M,No,7' to 8' shark ,Provoked
SOUTH AFRICA,Fishing related,"Noordhoek, Port Elizabeth",M,No,,Watercraft
AUSTRALIA,Surfing related,Angourie,M,No,"White shark, 2.5m",Unprovoked
SOUTH AFRICA,Surfing related,Between Sodwana & Cape Vidal,M,Unknown,Shark involvement not confirmed,Invalid
AUSTRALIA,Surfing related,Maroubra,M,No,Wobbegong shark,Unprovoked
USA,Surfing related,Seaside Cove,F,No,,Unprovoked
AUSTRALIA,Fishing related,Bushy Ilet,Unknown,Unknown,Shark involvement not confirmed,Invalid
AUSTRALIA,Surfing related,Broken Head,M,No,,Unprovoked
INDONESIA,Surfing related,Tabanan,M,No,,Unprovoked
AUSTRALIA,Swimming related,Peregian,M,No,Wobbegong shark?,Unprovoked
USA,Boating related,Pigeon Point,M,No,"White shark, 15' to 16'",Watercraft
PAPUA NEW GUINEA,Diving related,Pigeon Island,M,No,,Unprovoked
BRAZIL,Surfing related,"Punta Del Chifre Beach, Olinda",M,No,,Unprovoked
REUNION,Fishing related,Sainte-Rose,M,No,,Unprovoked
USA,Surfing related,"Marina State Beach, Monterey County",M,No,White shark,Unprovoked
SCOTLAND,Surfing related,Spey Bay,M,No,8' to 10' shark,Unprovoked
SOUTH AFRICA,Diving related,"uShaka Aquarium, Durban",Unknown,No,Raggedtooth shark,Provoked
AUSTRALIA,Diving related,Rottnest Island,M,Yes,"White shark, 10'",Unprovoked
USA,Surfing related,"Newport, Lincoln County",M,No,"White shark, 15'",Unprovoked
AUSTRALIA,Diving related,Elwood Beach,M,No,"Port Jackson shark, 1m",Unprovoked
USA,Surfing related,Cape Canaveral,M,No,3' shark,Unprovoked
USA,Surfing related,Seaside,M,No,10' to 12' shark,Unprovoked
AUSTRALIA,Swimming related,Cottesloe Beach,M,Yes,,Unprovoked
REUNION,Boating related,Cap La Houssaye,M,No,2 to 2.5 m shark,Watercraft
USA,Fishing related,"Santa Maria Island, Manatee County",M,No,,Unprovoked
USA,unknown,"Gulf Shores, Baldwin County",M,No,,Unprovoked
USA,Surfing related,Hatillo Beach,M,Unknown,No shark involvement,Invalid
DOMINICAN REPUBLIC,Fishing related,Playa Jackson ,M,No,,Provoked
SOUTH AFRICA,Swimming related,Clovely Beach,M,No,White shark,Unprovoked
USA,Fishing related,"Santa Maria Island, Manatee County",M,No,"Bull shark, 6'",Unprovoked
USA,Other,"North Myrtle Beach, Horry County",M,No,,Unprovoked
USA,Boating related,Kauai,M,No,,Watercraft
REUNION,Surfing related,Boucan-Canot,M,Yes,,Unprovoked
KENYA,Swimming related,"Mama Ngina Beach, Mombasa ",M,Yes,,Unprovoked
USA,Surfing related,New Smyrna Beach,M,No,4' to 6' shark,Unprovoked
USA,Surfing related,"Samoa Beach, Humboldt County",M,No,,Unprovoked
PAPUA NEW GUINEA,Surfing related,"Hula, near Port Moresby",M,No,"Tiger shark, 2m",Unprovoked
USA,Surfing related,"Nimitz State Beach, Oahu",Unknown,No,,Unprovoked
AUSTRALIA,Surfing related, Bunker Bay,M,Yes,White shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,"6' shark, possibly a blactip or spinner shark",Unprovoked
USA,Surfing related,Crescent Beach St. Johns County,M,No,6' shark,Unprovoked
AUSTRALIA,Swimming related,Fantome Island,M,Unknown,Shark involvement prior to death not confirmed,Invalid
USA,Fishing related,"Grass Island, Aransas County",F,No,,Unprovoked
RUSSIA,Other,Slavyanka,M,No,,Unprovoked
USA,Surfing related,"Buxton Beach, Dare County",M,No,,Unprovoked
USA,unknown,Holden Beach. Brunswick County,M,No,,Unprovoked
SOUTH AFRICA,Surfing related,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",M,Yes,"White shark, >6'",Unprovoked
RUSSIA,Swimming related,Zheltukhin Island,M,No,,Unprovoked
USA,Swimming related,"Kure Beach, New Hanover County",F,No,Possibly a 5' to 6' sandtiger shark,Unprovoked
USA,unknown,"Wrightsville Beach, New Hanover County",M,Unknown,Shark involvement not confirmed,Invalid
RUSSIA,Swimming related,Vityaz,M,No,4 m shark,Unprovoked
FRENCH POLYNESIA,Surfing related,"Teahupoo, Tahiti",M,No,Grey reef shark ,Unprovoked
USA,Swimming related, Vieques,M,No,,Unprovoked
SEYCHELLES,Swimming related,Anse Lazio ,M,Yes,"Bull shark, 6'",Unprovoked
USA,Surfing related,"Myrtle Beach, Horry County",M,No,Shark involvement not confirmed,Invalid
USA,Swimming related,Beaufort Inlet,M,No,,Unprovoked
SEYCHELLES,Diving related,Anse Lazio ,M,Yes,,Unprovoked
BRAZIL,Swimming related,Praia do Pina,M,Unknown,Shark involvement prior to death not confirmed,Invalid
PHILIPPINES,Other,,M,No,,Sea Disaster
USA,Fishing related,"Egg Harbor, Atlantic County",M,No,,Unprovoked
SOUTH AFRICA,Surfing related,"Cintza Beach, East London",M,No,"White shark, 3m to 4m",Unprovoked
USA,Surfing related,"Ocracoke Island, Hyde County",F,No,,Unprovoked
REUNION,Boating related,Brisants. ,M,No,,Watercraft
USA,Surfing related,"South Padre Island, Cameron County",M,No,,Unprovoked
BAHAMAS,Diving related,Off Lucaya,M,No,,Unprovoked
USA,Swimming related,"Sunday Beach, Matagorda Island, Calhoun  County",M,No,,Unprovoked
USA,Fishing related,"Mustang Island, Nueces County",M,No,,Unprovoked
REUNION,Surfing related,Roches Noires,M,No,,Unprovoked
COLUMBIA,Boating related,"Libertad, San Onofre",M,No,,Unprovoked
TURKS & CAICOS,Diving related,Mudjin Harbor,M,No,,Unprovoked
BRAZIL,Surfing related,Praia do Pina,M,No,,Unprovoked
SOUTH AFRICA,Diving related,Aliwal Shoal,M,No,"Bull shark, 3m female",Unprovoked
USA,Surfing related,"North Topsail Beach, Onslow County",F,No,"Bull shark, 6'",Unprovoked
USA,Surfing related,"San Onofre State Beach, San Diego County",M,No,"White shark, 5' k",Unprovoked
USA,Other,"Perdido Key, Escambia County",M,No,,Unprovoked
TURKS & CAICOS,Fishing related,French Cay,M,No,5' shark,Unprovoked
COSTA RICA,Surfing related,Playa Grande,M,Yes,,Unprovoked
REUNION,Surfing related,Boucan-Canot,M,Yes,,Unprovoked
UNITED KINGDOM,Fishing related,St. Ives,Unknown,No,"Oceanic whitetip shark, 7'",Watercraft
USA,Diving related,"Off Jupiter Inlet, Palm Beach County",M,No,"Blacktip shark, 4'",Unprovoked
COLUMBIA,Fishing related,Albuquerque Cay,M,No,,Unprovoked
USA,Fishing related,"La Jolla, San Diego County",M,No,"Sevengill shark, 6' to 8'",Unprovoked
USA,Swimming related,"New Smyrna Beach, Volusia County",M,No,3' to 4' shark,Unprovoked
MALAYSIA,Diving related,Palau Payar,F,No,Blacktip reef shark ,Unprovoked
USA,Other,"Follett's Island, Brazoria County",F,No,,Unprovoked
SOUTH AFRICA,Surfing related,Robberg Beach,M,No,White shark,Unprovoked
USA,Surfing related,"Lyman Beach, Kailua-Kona",F,No,"Tiger shark, 10'",Unprovoked
USA,Surfing related,"Lyman Beach, Kailua-Kona",F,No,Tiger shark,Unprovoked
SOUTH AFRICA,Fishing related,Levan Point,M,Yes,Zambesi shark,Unprovoked
USA,Surfing related,"Ponte Vedra Beach, St Johns County",M,No,,Unprovoked
NEW CALEDONIA,Surfing related,Kendec,M,Yes," Tiger shark, 2.8m",Unprovoked
USA,Surfing related,"Ormond Beach, Volusia County",M,No,,Unprovoked
USA,Fishing related,Miami,M,No,"Sandbar shark, 8'",Provoked
UNITED ARAB EMIRATES (UAE),Fishing related,Khor Fakkan ,M,Unknown,Invalid,Invalid
SOUTH AFRICA,Fishing related,Palm Beach,M,No,,Unprovoked
USA,Fishing related,"Riviera Beach, Palm Beach County",M,No,"Bull shark, 12'",Unprovoked
AUSTRALIA,Other,Red Bluffs,M,No,"reef shark, 1.5m",Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,1' to 2' shark,Unprovoked
NEW ZEALAND,Surfing related,Snapper Point,M,No,possibly a bronze whaler shark,Unprovoked
INDONESIA,Surfing related,Balian,M,No," Bull shark, 2.5 m",Unprovoked
FIJI,Diving related,"Malake Island, Ra Province",M,No,,Unprovoked
USA,Other,Matagorda Beach,M,No,Blacktip shark pup,Provoked
MEXICO,Swimming related,"Gaviotas Beach, Cancun",F,No,Bull shark,Unprovoked
AUSTRALIA,Surfing related,Crowdy Head,M,No,"Bull shark, 2.5m",Unprovoked
MEXICO,Swimming related,,M,No,,Unprovoked
FIJI,Fishing related,Nukudamu ,M,No,,Unprovoked
AUSTRALIA,Surfing related,"Jimmys Beach, Port Stephens",F,No,3 m to 4 m shark,Unprovoked
EGYPT,unknown,Sharm-el-Sheikh,F,Unknown,,Invalid
AUSTRALIA,Surfing related,"Tallow Beach, Byron Bay",M,No,,Unprovoked
AUSTRALIA,Fishing related,Between ,M,No,"Bull shark, 2m",Provoked
NEW CALEDONIA,Fishing related,"Bay of Bweedro, Ouvéa",M,No,1.5 m shark,Unprovoked
REUNION,Surfing related,Trois-Roches,M,No,,Unprovoked
AUSTRALIA,Diving related,Off Perforated Island near Coffin Bay,M,Yes,White shark x 2,Unprovoked
AUSTRALIA,Fishing related,Sunshine Beach,M,No,1 m shark,Provoked
AUSTRALIA,Diving related,Exmouth,M,No,,Unprovoked
MEXICO,Fishing related,"Manzanillo, Revillagigedo Islands",M,No,,Provoked
SOUTH AFRICA,Surfing related,"Sundays River Mouth, Port Elizabeth",M,No,,Unprovoked
MEXICO,Swimming related,Cancun,F,No,6' shark,Unprovoked
MEXICO,Fishing related,Revillagigedo Islands,M,No,,Provoked
BAHAMAS,Diving related,Tiger Beach,M,No,Caribbean reef shark,Unprovoked
AUSTRALIA,Swimming related,Cudgen Creek ,F,Unknown,Shark involvement not confirmed,Invalid
SOUTH AFRICA,Surfing related,"Second Beach, Port St. John's",M,Yes,,Unprovoked
MEXICO,Other,Xcalak ,M,No,,Unprovoked
AUSTRALIA,Fishing related,Busselton,Unknown,No,White shark,Watercraft
USA,Surfing related," Kahului, Maui",M,No,6' shark,Unprovoked
FIJI,Surfing related,Sigatoka,M,No,,Unprovoked
USA,Surfing related,"Tavares Bay, Maui",M,No,,Unprovoked
EGYPT,Diving related,"Middle Garden, Sharm el-Shiekh",F,Yes,"Oceanic whitetip shark, 2.5m ",Unprovoked
INDONESIA,Surfing related,Balian,M,No,,Unprovoked
EGYPT,Diving related,"Ras Nasrani, Sharm el-Sheikh",M,No,Mako shark ,Unprovoked
EGYPT,Diving related,"Ras Nasrani, Sharm el-Sheikh",M,No,Mako shark,Unprovoked
EGYPT,Diving related,"Coral Bay, Sharm el-Sheikh",F,No,"Oceanic whitetip shark, 2.5m, female",Unprovoked
EGYPT,Diving related,"Coral Bay, Sharm el-Sheikh",F,No,"Oceanic whitetip shark, 2.5m, female",Unprovoked
SAMOA,Fishing related,,M,No,,Unprovoked
AUSTRALIA,Swimming related,Native Dog Beach,M,Unknown,Shark involvement not confirmed,Invalid
USA,Diving related,,M,No,,Provoked
DOMINICAN REPUBLIC,Diving related,Boca Chica,M,Yes,,Unprovoked
INDONESIA,Surfing related,Balian,M,No,,Unprovoked
AUSTRALIA,Fishing related,Between Carnac and Garden Islands,M,No,White shark,Watercraft
AUSTRALIA,Diving related,Off Garden Island,F,No,White shark,Unprovoked
AUSTRALIA,Fishing related,Cheynes Beach,M,No,,Unprovoked
USA,Surfing related,Florence,M,No,,Unprovoked
AZORES,Fishing related,350 miles from Faial Island,M,No,,Provoked
USA,Diving related,"Burnt Cove near Eastport, Washington County",M,No,"Porbeagle shark, 8' ",Unprovoked
AUSTRALIA,Surfing related,Wedge Island,M,No,,Unprovoked
USA,Surfing related,"Surf Beach, Vandenberg AFB, Santa Barbara County",M,Yes,"White shark, 14' to 18' ",Unprovoked
EGYPT,Diving related,Sharm el-Sheikh ,F,No,,Unprovoked
AUSTRALIA,Surfing related,Mullaway Headland,M,No,"Bull shark, 1.4m ",Unprovoked
BAHAMAS,Diving related,,M,No,Lemon shark,Unprovoked
BAHAMAS,Surfing related,Elbow Cay,F,No,Possibly a 6' lemon shark,Unprovoked
SOUTH AFRICA,Surfing related,"Melkbaai, Strand",M,No,,Unprovoked
USA,Surfing related,Winchester Bay,M,No,White shark,Unprovoked
USA,Surfing related,Sandridge Beach,M,No,,Unprovoked
SOUTH AFRICA,Swimming related,Between Dyer Island and Pearly Beach,M,Yes,White shark,Unprovoked
AUSTRALIA,Surfing related,Fraser's Reef,M,No,2m shark,Unprovoked
USA,Swimming related,"St. Augustine, St. John's County",M,No,3' shark,Unprovoked
TONGA,Swimming related,,M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
SOLOMON ISLANDS,unknown,,M,No,,Unprovoked
BAHAMAS,Swimming related,"Off Jaws Beach, New Providence Island",M,Unknown,Shark involvement prior to death was not confirmed,Invalid
USA,Surfing related,Crescent Beach St. Johns County,M,No,,Unprovoked
AUSTRALIA,Surfing related,Cowaramup Bay,M,Yes,White shark,Unprovoked
USA,Fishing related,"Pigeon Point, San Mateo County",M,No,White shark,Watercraft
AUSTRALIA,Fishing related,"Three Mile Creek, Townsville",F,No,,Provoked
SOUTH KOREA,Swimming related,Jeju Island,F,No,,Unprovoked
AUSTRALIA,Surfing related,Crescent Head,M,No,,Unprovoked
USA,Surfing related,"Figure Eight Island, Wilmington, New Hanover County",M,No,,Unprovoked
MALTA,Surfing related,"Off Fort St. Elmo, Valetta",M,No,3 m shark,Unprovoked
USA,Swimming related,"Bethune Beach, Volusia County",F,Unknown,Shark involvement not confirmed,Invalid
USA,Boating related,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",M,No,"White shark, 15'",Watercraft
USA,Swimming related,"Micklers Landing, St. Johns County",F,No,3' to 4' shark,Unprovoked
USA,Swimming related,"Isle of Palms, Charleston County",M,No,4' shark,Unprovoked
USA,Surfing related,"Jacksonville Beach, Duval County",M,No,,Unprovoked
USA,Swimming related,Myrtle Beach,M,No,Possibly a small blacktip shark,Unprovoked
USA,Swimming related,"Wrightsville Beach, New Hanover County",F,No,"Sandtiger shark, 4' to 5'",Unprovoked
USA,Surfing related,New Smyrna Beach,M,No,A small spinner shark,Unprovoked
SPAIN,Swimming related,"Sardina del Norte, Gáldar",M,No,Angel shark,Provoked
USA,Fishing related,Galveston,M,No,,Unprovoked
USA,Fishing related,"Lauderdale-by-the-Sea, Broward County",M,No,"Nurse shark, juvenile ",Provoked
SOUTH AFRICA,Diving related,"Two Mile Reef, Sodwana Bay",F,No,,Unprovoked
USA,Fishing related,Off Long Island,M,No,"Blue shark, 7'",Provoked
USA,Surfing related,"Pismo Beach, San Luis  Obispo County",M,No,4' shark,Unprovoked
USA,Surfing related,"Dog Patch, San Onofre",M,No,8' shark,Unprovoked
USA,Surfing related,"Eight Mile Beach, Galveston",M,No,"Bull shark, 5'",Unprovoked
USA,Surfing related,Fripp Island,F,No,,Unprovoked
USA,Swimming related,"Topsail Island, Pender County",F,No,,Unprovoked
VIETNAM,Swimming related,Quy Nhon ,M,No,1 m shark,Unprovoked
USA,Surfing related,Jacksonville,F,No,4' shark,Unprovoked
AUSTRALIA,Surfing related,"Conspicuous Beach, near Walpole",M,No,,Unprovoked
USA,Surfing related,"Ponte Vedra Beach, St Johns County",M,No,,Unprovoked
USA,Fishing related,Off Tarpon Springs,M,No,"Lemon shark, 4'",Provoked
VIETNAM,Other,Quy Nhon ,F,No,20 to 30kg shark,Unprovoked
VIETNAM,Swimming related,Quy Nhon ,F,No,20 to 30kg shark,Unprovoked
AUSTRALIA,Surfing related,Point Plomer,M,No,,Unprovoked
MADAGASCAR,Diving related," Ambatolaoka, Nosy Be Island",M,No,,Unprovoked
USA,Swimming related,New Smyrna Beach,F,No,4' shark,Unprovoked
USA,Other,Hanalei Bay,M,No,"Lemon shark, 6'",Provoked
USA,Surfing related,"Hanalei Bay, Kauai",M,No,14' shark,Unprovoked
SOUTH AFRICA,Surfing related,"East Beach, Port Alfred",M,No,2 m shark,Unprovoked
EGYPT,Swimming related,Sharm el-Sheikh ,M,No,"Oceanic whitetip shark, 6'",Unprovoked
REUNION,Surfing related,Bittern,M,No,1.5 m shark,Unprovoked
NEW ZEALAND,Swimming related,Tahunanui Beach,M,No,Possibly a blue shark,Unprovoked
SOUTH AFRICA,Surfing related,Yellow Sands Point,M,No,3 m shark,Unprovoked
FIJI,Diving related,Nara Reef,M,Yes,,Unprovoked
AUSTRALIA,Diving related,"Dent Island, Whitsundays",F,No,2 m shark,Unprovoked
AUSTRALIA,Surfing related,"Mona Vale Beach, Sydney",M,No,"Wobbegong shark, 1.6m",Unprovoked
NEW ZEALAND,Fishing related,Cosy Nook,M,No,2 m to 3 m shark,Provoked
AUSTRALIA,Surfing related,Turners' Beach,M,No,"White shark, 2.5m",Unprovoked
USA,Surfing related,Riviera Beach,M,No,"Spinner shark, 6'",Provoked
GUAM,Fishing related,Achang Reef,M,Unknown,Invalid,Invalid
USA,Surfing related,"Stuart, Martin County",M,Yes,,Unprovoked
NEW ZEALAND,Surfing related,Oreti Beach,F,No,1.5 m shark,Provoked
BRAZIL,Surfing related,"Atlantis Beach, near Tramandai",M,No,Thought to involve a juvenile hammerhead shark,Unprovoked
AUSTRALIA,Surfing related,Archie's Beach,M,No,,Unprovoked
UNITED ARAB EMIRATES (UAE),Surfing related,"Umm Suqeim Beach, Dubai",M,No,,Unprovoked
AUSTRALIA,Surfing related,Geelong,M,No,,Unprovoked
SOUTH AFRICA,Swimming related,Fish Hoek,M,Yes,White shark,Unprovoked
AUSTRALIA,Diving related,Thursday Island,F,No,"Whitetip reef shark, 1m",Unprovoked
VIETNAM,unknown,Quy Nhon ,F,No,,Unprovoked
VIETNAM,unknown,Quy Nhon ,M,No,,Unprovoked
VIETNAM,Swimming related,Quy Nhon ,M,No,,Unprovoked
USA,Fishing related,Elliot Key,M,No,,Unprovoked
SOUTH AFRICA,Surfing related,"Nahoon, East London",M,No,,Unprovoked
SOUTH AFRICA,Swimming related,Port Alfred,M,No,,Unprovoked
AUSTRALIA,Swimming related,Avoca Beach,M,No,,Provoked
MOZAMBIQUE,Swimming related,Ponta do Ouro,M,No,"Zambesi shark, 2m ",Unprovoked
AUSTRALIA,Boating related,Mudjimba Island,M,No,,Watercraft
AUSTRALIA,Fishing related,Lamont Reef,M,No,"Bull shark, 3m",Unprovoked
SOUTH AFRICA,Other,"Second Beach, Port St. Johns",M,Yes,,Unprovoked
